,position,homeAway,tries,tryassists,points,kicks,passes,runs,metres,cleanbreaks,defendersbeaten,offload,lineoutwonsteal,turnoversconceded,tackles,missedtackles,lineoutswon,penaltiesconceded,yellowcards,redcards,penalties,penaltygoals,conversiongoals,dropgoalsconverted,finalScore
181,9,1,1,0,5,0,1,7,40,2,4,0,0,1,4,0,0,1,0,0,0,0,0,0,0
182,0,1,0,1,0,0,4,9,29,2,2,0,0,2,5,1,0,0,0,0,0,0,0,0,0
183,0,1,1,0,5,0,4,7,26,2,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0
184,9,1,1,1,5,0,4,10,52,1,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0
185,2,1,0,1,10,0,19,4,10,2,0,1,0,0,3,0,0,0,0,0,0,0,5,0,0
186,8,1,0,0,0,0,58,4,5,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0
187,7,1,0,0,0,0,1,4,2,0,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0
188,4,1,0,0,0,0,1,3,19,1,0,1,0,0,5,0,3,0,0,0,0,0,0,0,0
189,7,1,0,0,0,0,3,3,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
190,5,1,0,0,0,0,2,10,6,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
191,5,1,0,0,0,0,1,15,33,0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
192,3,1,1,0,5,0,0,8,13,0,0,0,0,1,13,1,0,1,0,0,0,0,0,0,0
193,3,1,0,0,0,0,0,2,3,0,1,0,0,0,7,1,0,0,0,0,0,0,0,0,0
194,6,1,1,0,5,0,3,9,46,2,3,1,0,0,7,1,0,1,0,0,0,0,0,0,0
195,1,0,0,0,0,0,2,8,15,0,1,1,0,1,2,4,0,1,0,0,0,0,0,0,0
196,9,0,0,0,0,0,0,9,25,1,1,0,0,0,5,2,0,1,0,0,0,0,0,0,0
197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
198,0,0,0,0,0,0,4,12,23,0,0,1,0,0,8,4,0,1,0,0,0,0,0,0,0
199,9,0,0,0,0,0,1,7,37,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0
200,2,0,0,0,5,0,22,6,33,0,1,1,0,3,3,1,0,0,0,0,1,1,1,0,0
201,8,0,0,0,0,0,49,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0
202,7,0,0,0,0,0,0,6,14,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0
203,4,0,0,0,0,0,1,7,2,0,0,0,0,1,14,0,4,1,0,0,0,0,0,0,0
204,7,0,0,0,0,0,0,1,0,0,0,0,0,1,10,1,0,1,0,0,0,0,0,0,0
205,5,0,0,0,0,0,4,11,22,0,3,0,0,1,8,3,0,2,0,0,0,0,0,0,0
206,5,0,0,0,0,0,4,6,2,0,0,0,0,1,18,2,0,0,0,0,0,0,0,0,0
207,3,0,0,0,0,0,3,6,12,0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0
208,3,0,1,0,5,0,2,9,17,0,1,0,0,1,10,4,0,0,0,0,0,0,0,0,0
209,6,0,1,0,5,0,2,2,1,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
